ID,name,playMethod,playedDay,playedEver,playedWeek,skipped
192, Futile.wav,1.1,0,1,0,0.0
193, Gemini.wav,1.1,0,1,0,0.0
194, Genesis.wav,1.1,0,1,0,0.0
195, Get Away.wav,1.1,0,1,0,0.0
196, Get Down.wav,1.1,0,1,0,0.0
197, Get Me.wav,1.1,0,1,0,0.0
198, Ghetto Kyote.wav,1.1,0,1,0,0.0
199, Gift Of Tongue.wav,1.1,0,1,0,0.0
200, Gin Pomelo.wav,1.1,0,1,0,0.0
201, Girl From Ipanema.wav,1.1,0,1,0,0.0
202, Girlfriend.wav,1.1,0,1,0,0.0
203, Gising Na Kaibigan.wav,1.1,0,1,0,0.0
204, Gising Na.wav,1.1,0,1,0,0.0
