@relation 'jAudio_clustered-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-R554-662-weka.filters.unsupervised.attribute.Remove-R51-232-weka.filters.unsupervised.attribute.Remove-R101-282-weka.filters.unsupervised.attribute.Remove-R190-191_clustered'

@attribute Instance_number numeric
@attribute 'Beat Histogram Overall Average7' numeric
@attribute 'Beat Histogram Overall Average6' numeric
@attribute 'Beat Histogram Overall Average26' numeric
@attribute 'Beat Histogram Overall Average25' numeric
@attribute 'Beat Histogram Overall Average54' numeric
@attribute 'Beat Histogram Overall Average23' numeric
@attribute 'Beat Histogram Overall Average2' numeric
@attribute 'Beat Histogram Overall Average28' numeric
@attribute 'Beat Histogram Overall Average0' numeric
@attribute 'Beat Histogram Overall Average12' numeric
@attribute 'Beat Histogram Overall Average10' numeric
@attribute 'Beat Histogram Overall Average29' numeric
@attribute 'Beat Histogram Overall Average13' numeric
@attribute 'Beat Histogram Overall Average8' numeric
@attribute 'Beat Histogram Overall Average39' numeric
@attribute 'Beat Histogram Overall Average16' numeric
@attribute 'Beat Histogram Overall Average18' numeric
@attribute 'Beat Histogram Overall Average1' numeric
@attribute 'Beat Histogram Overall Average11' numeric
@attribute 'Beat Histogram Overall Average27' numeric
@attribute 'Beat Histogram Overall Average19' numeric
@attribute 'Beat Histogram Overall Average17' numeric
@attribute 'Beat Histogram Overall Average158' numeric
@attribute 'Beat Histogram Overall Average66' numeric
@attribute 'Beat Histogram Overall Average9' numeric
@attribute 'Beat Histogram Overall Average159' numeric
@attribute 'Beat Histogram Overall Average72' numeric
@attribute 'Beat Histogram Overall Average4' numeric
@attribute 'Beat Histogram Overall Average44' numeric
@attribute 'Beat Histogram Overall Average30' numeric
@attribute 'Beat Histogram Overall Average38' numeric
@attribute 'Beat Histogram Overall Average65' numeric
@attribute 'Beat Histogram Overall Average36' numeric
@attribute 'Beat Histogram Overall Average67' numeric
@attribute 'Beat Histogram Overall Average15' numeric
@attribute 'Beat Histogram Overall Average93' numeric
@attribute 'Beat Histogram Overall Average64' numeric
@attribute 'Beat Histogram Overall Average46' numeric
@attribute 'Beat Histogram Overall Average20' numeric
@attribute 'Beat Histogram Overall Average160' numeric
@attribute 'Beat Histogram Overall Average85' numeric
@attribute 'Beat Histogram Overall Average168' numeric
@attribute 'Beat Histogram Overall Average83' numeric
@attribute 'Beat Histogram Overall Average5' numeric
@attribute 'Beat Histogram Overall Average43' numeric
@attribute 'Beat Histogram Overall Average169' numeric
@attribute 'Beat Histogram Overall Average73' numeric
@attribute 'Beat Histogram Overall Average63' numeric
@attribute 'Beat Histogram Overall Average48' numeric
@attribute 'Beat Histogram Overall Average45' numeric
@attribute 'Beat Histogram Overall Standard Deviation231' numeric
@attribute 'Beat Histogram Overall Standard Deviation227' numeric
@attribute 'Beat Histogram Overall Standard Deviation226' numeric
@attribute 'Beat Histogram Overall Standard Deviation228' numeric
@attribute 'Beat Histogram Overall Standard Deviation230' numeric
@attribute 'Beat Histogram Overall Standard Deviation229' numeric
@attribute 'Beat Histogram Overall Standard Deviation225' numeric
@attribute 'Beat Histogram Overall Standard Deviation207' numeric
@attribute 'Beat Histogram Overall Standard Deviation217' numeric
@attribute 'Beat Histogram Overall Standard Deviation220' numeric
@attribute 'Beat Histogram Overall Standard Deviation222' numeric
@attribute 'Beat Histogram Overall Standard Deviation221' numeric
@attribute 'Beat Histogram Overall Standard Deviation219' numeric
@attribute 'Beat Histogram Overall Standard Deviation224' numeric
@attribute 'Beat Histogram Overall Standard Deviation206' numeric
@attribute 'Beat Histogram Overall Standard Deviation213' numeric
@attribute 'Beat Histogram Overall Standard Deviation223' numeric
@attribute 'Beat Histogram Overall Standard Deviation218' numeric
@attribute 'Beat Histogram Overall Standard Deviation214' numeric
@attribute 'Beat Histogram Overall Standard Deviation215' numeric
@attribute 'Beat Histogram Overall Standard Deviation209' numeric
@attribute 'Beat Histogram Overall Standard Deviation202' numeric
@attribute 'Beat Histogram Overall Standard Deviation205' numeric
@attribute 'Beat Histogram Overall Standard Deviation204' numeric
@attribute 'Beat Histogram Overall Standard Deviation212' numeric
@attribute 'Beat Histogram Overall Standard Deviation216' numeric
@attribute 'Beat Histogram Overall Standard Deviation210' numeric
@attribute 'Beat Histogram Overall Standard Deviation203' numeric
@attribute 'Beat Histogram Overall Standard Deviation187' numeric
@attribute 'Beat Histogram Overall Standard Deviation211' numeric
@attribute 'Beat Histogram Overall Standard Deviation186' numeric
@attribute 'Beat Histogram Overall Standard Deviation199' numeric
@attribute 'Beat Histogram Overall Standard Deviation208' numeric
@attribute 'Beat Histogram Overall Standard Deviation200' numeric
@attribute 'Beat Histogram Overall Standard Deviation201' numeric
@attribute 'Beat Histogram Overall Standard Deviation189' numeric
@attribute 'Beat Histogram Overall Standard Deviation188' numeric
@attribute 'Beat Histogram Overall Standard Deviation190' numeric
@attribute 'Beat Histogram Overall Standard Deviation198' numeric
@attribute 'Beat Histogram Overall Standard Deviation185' numeric
@attribute 'Beat Histogram Overall Standard Deviation196' numeric
@attribute 'Beat Histogram Overall Standard Deviation197' numeric
@attribute 'Beat Histogram Overall Standard Deviation184' numeric
@attribute 'Beat Histogram Overall Standard Deviation194' numeric
@attribute 'Beat Histogram Overall Standard Deviation183' numeric
@attribute 'Beat Histogram Overall Standard Deviation193' numeric
@attribute 'Beat Histogram Overall Standard Deviation192' numeric
@attribute 'Beat Histogram Overall Standard Deviation195' numeric
@attribute 'Beat Histogram Overall Standard Deviation175' numeric
@attribute 'Beat Histogram Overall Standard Deviation191' numeric
@attribute 'Standard Deviation of Spectral Flux Overall Standard Deviation0' numeric
@attribute 'Running Mean of Spectral Flux Overall Standard Deviation0' numeric
@attribute 'Spectral Flux Overall Average0' numeric
@attribute 'Standard Deviation of Spectral Flux Overall Average0' numeric
@attribute 'Running Mean of Spectral Flux Overall Average0' numeric
@attribute 'Standard Deviation of MFCC Overall Average0' numeric
@attribute 'Running Mean of MFCC Overall Average0' numeric
@attribute 'MFCC Overall Average0' numeric
@attribute 'Spectral Flux Overall Standard Deviation0' numeric
@attribute 'Derivative of Standard Deviation of Spectral Flux Overall Standard Deviation0' numeric
@attribute 'Derivative of Running Mean of Spectral Flux Overall Standard Deviation0' numeric
@attribute 'Derivative of Spectral Flux Overall Standard Deviation0' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation9' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation8' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation12' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation11' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation10' numeric
@attribute 'MFCC Overall Standard Deviation9' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation4' numeric
@attribute 'Derivative of Standard Deviation of Spectral Flux Overall Average0' numeric
@attribute 'MFCC Overall Standard Deviation12' numeric
@attribute 'MFCC Overall Standard Deviation10' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation6' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation7' numeric
@attribute 'MFCC Overall Standard Deviation11' numeric
@attribute 'Running Mean of MFCC Overall Average6' numeric
@attribute 'MFCC Overall Standard Deviation6' numeric
@attribute 'MFCC Overall Average6' numeric
@attribute 'MFCC Overall Standard Deviation7' numeric
@attribute 'MFCC Overall Standard Deviation8' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation5' numeric
@attribute 'Running Mean of Compactness Overall Average0' numeric
@attribute 'Standard Deviation of Compactness Overall Average0' numeric
@attribute 'Compactness Overall Average0' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation1' numeric
@attribute 'MFCC Overall Standard Deviation4' numeric
@attribute 'MFCC Overall Standard Deviation5' numeric
@attribute 'MFCC Overall Average3' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation2' numeric
@attribute 'Derivative of Running Mean of Zero Crossings Overall Standard Deviation0' numeric
@attribute 'Derivative of Standard Deviation of Zero Crossings Overall Standard Deviation0' numeric
@attribute 'Running Mean of MFCC Overall Average3' numeric
@attribute 'Running Mean of MFCC Overall Standard Deviation11' numeric
@attribute 'Running Mean of MFCC Overall Standard Deviation10' numeric
@attribute 'Running Mean of MFCC Overall Standard Deviation12' numeric
@attribute 'MFCC Overall Average1' numeric
@attribute 'Running Mean of MFCC Overall Average1' numeric
@attribute 'Running Mean of MFCC Overall Standard Deviation9' numeric
@attribute 'Zero Crossings Overall Standard Deviation0' numeric
@attribute 'Derivative of MFCC Overall Standard Deviation1' numeric
@attribute 'MFCC Overall Standard Deviation1' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation3' numeric
@attribute 'Derivative of Running Mean of Spectral Flux Overall Average0' numeric
@attribute 'Running Mean of MFCC Overall Standard Deviation8' numeric
@attribute 'MFCC Overall Standard Deviation2' numeric
@attribute 'Derivative of MFCC Overall Standard Deviation2' numeric
@attribute 'Derivative of MFCC Overall Standard Deviation6' numeric
@attribute 'Running Mean of MFCC Overall Average8' numeric
@attribute 'Running Mean of MFCC Overall Average2' numeric
@attribute 'Derivative of Standard Deviation of MFCC Overall Standard Deviation0' numeric
@attribute 'Derivative of MFCC Overall Standard Deviation4' numeric
@attribute 'MFCC Overall Average8' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation0' numeric
@attribute 'MFCC Overall Average2' numeric
@attribute 'Derivative of MFCC Overall Standard Deviation12' numeric
@attribute 'Derivative of Zero Crossings Overall Standard Deviation0' numeric
@attribute 'Derivative of MFCC Overall Standard Deviation10' numeric
@attribute 'Running Mean of MFCC Overall Standard Deviation6' numeric
@attribute 'Running Mean of MFCC Overall Standard Deviation7' numeric
@attribute 'Derivative of MFCC Overall Standard Deviation9' numeric
@attribute 'Derivative of MFCC Overall Standard Deviation8' numeric
@attribute 'Derivative of MFCC Overall Standard Deviation7' numeric
@attribute 'Derivative of MFCC Overall Average12' numeric
@attribute 'Derivative of Spectral Flux Overall Average0' numeric
@attribute 'Derivative of Standard Deviation of MFCC Overall Average3' numeric
@attribute 'Standard Deviation of MFCC Overall Average9' numeric
@attribute 'Derivative of Standard Deviation of MFCC Overall Standard Deviation9' numeric
@attribute 'Standard Deviation of MFCC Overall Average10' numeric
@attribute 'Standard Deviation of MFCC Overall Standard Deviation10' numeric
@attribute 'Derivative of Standard Deviation of MFCC Overall Standard Deviation10' numeric
@attribute 'Derivative of Standard Deviation of MFCC Overall Standard Deviation4' numeric
@attribute 'Derivative of Standard Deviation of MFCC Overall Average12' numeric
@attribute 'Derivative of Standard Deviation of MFCC Overall Standard Deviation12' numeric
@attribute 'Derivative of Standard Deviation of MFCC Overall Standard Deviation7' numeric
@attribute 'Derivative of Standard Deviation of MFCC Overall Average7' numeric
@attribute 'Standard Deviation of MFCC Overall Average12' numeric
@attribute 'Standard Deviation of MFCC Overall Standard Deviation12' numeric
@attribute 'Standard Deviation of MFCC Overall Average7' numeric
@attribute 'Standard Deviation of MFCC Overall Standard Deviation7' numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
52,8.602,8.602,7.889,7.923,6.754,7.937,8.833,7.757,8.944,8.37,8.54,7.7,8.31,8.616,7.343,8.263,8.209,8.912,8.452,7.829,8.134,8.254,2.778,6.298,8.603,2.745,6.043,8.669,7.184,7.663,7.369,6.329,7.477,6.264,8.261,5.267,6.356,7.067,8.058,2.713,5.569,2.409,5.637,8.624,7.251,2.374,6.011,6.389,7.011,7.117,0.03074,0.1463,0.1742,0.1183,0.06032,0.08948,0.2021,0.7027,0.4272,0.3438,0.2865,0.315,0.372,0.2301,0.7306,0.5378,0.2582,0.3996,0.5097,0.4818,0.6483,0.8435,0.7585,0.7877,0.5661,0.4543,0.6215,0.8164,1.248,0.5939,1.274,0.9224,0.6755,0.896,0.8696,1.192,1.22,1.164,0.9492,1.301,1.006,0.9767,1.325,1.06,1.35,1.086,1.112,1.034,1.562,1.138,0.01826,0.001827,0.002669,0.02678,0.00269,986.3,-98.63,-100.3,0.003157,0.000371,0.000037,0.002639,0.02541,0.02421,0.02312,0.02542,0.02356,1.865,0.03488,0,1.678,1.73,0.02681,0.03256,2.121,-0.3767,2.059,-0.3883,2.422,1.77,0.02905,1662,16620,1662,0.05347,2.544,2.163,1.544,0.0483,0.5248,5.224,1.584,1.314,0.6396,0.6648,3.919,4.065,0.7913,44.01,2.646,4.967,0.04141,0,0.679,3.801,2.276,1.756,-1.073,2.676,2.76,2.026,-1.064,0.2762,2.715,1.46,24.7,1.564,1.027,1.125,1.6,1.681,1.797,0.000167,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster3
53,6.653,6.681,6.05,6.086,5.234,6.175,6.82,5.988,6.926,6.514,6.624,5.957,6.479,6.634,5.637,6.369,6.315,6.866,6.563,6.019,6.295,6.339,2.148,4.886,6.634,2.108,4.66,6.742,5.541,5.93,5.664,4.901,5.73,4.854,6.405,4.043,4.916,5.451,6.282,2.072,4.279,1.841,4.337,6.709,5.562,1.812,4.628,4.939,5.377,5.501,0.01913,0.08919,0.1062,0.07193,0.03709,0.05459,0.1227,0.4015,0.2484,0.2007,0.1694,0.1851,0.2165,0.1384,0.4171,0.3119,0.1538,0.2323,0.2968,0.281,0.3712,0.4812,0.433,0.4502,0.3261,0.2646,0.3561,0.4663,0.6989,0.341,0.7145,0.5225,0.3864,0.5078,0.4939,0.6702,0.6844,0.6573,0.5372,0.7302,0.567,0.5521,0.745,0.5974,0.7603,0.6135,0.6297,0.582,0.8757,0.645,0.009795,0.000988,0.001596,0.01598,0.001611,1014,-101.4,-103,0.002608,0.000338,0.000034,0.002539,0.0282,0.02425,0.02226,0.02427,0.02389,2.034,0.03174,-0.000001,1.655,1.857,0.02549,0.025,1.877,-0.9501,1.845,-0.9639,2.013,1.894,0.02648,1729,17280,1728,0.0607,2.341,2.004,2.525,0.04309,0.5167,5.158,2.583,1.145,1.096,0.8795,5.225,5.392,1.116,47.55,2.021,5.782,0.04191,0,1.073,3.417,1.915,1.513,-1.081,0.2352,2.618,1.727,-1.07,0.2621,0.2759,1.273,13.24,1.353,0.8954,1.222,1.409,1.446,1.486,0.000113,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster0
54,9.526,9.575,8.63,8.609,7.286,8.622,9.541,8.518,9.642,9.097,9.205,8.414,9.06,9.393,7.982,9.083,8.947,9.582,9.142,8.623,8.843,9.07,3.006,6.833,9.285,2.974,6.5,9.506,7.717,8.329,8.088,6.834,8.175,6.835,9.051,5.615,6.848,7.722,8.766,2.926,5.98,2.598,6.043,9.529,7.741,2.569,6.458,6.88,7.651,7.711,0.02345,0.0955,0.1124,0.07902,0.04395,0.06211,0.1299,0.4362,0.2683,0.2169,0.1827,0.2003,0.2358,0.1475,0.4521,0.3347,0.1652,0.2526,0.3178,0.3009,0.4042,0.5201,0.4684,0.485,0.3526,0.2844,0.3855,0.5019,0.766,0.3693,0.7797,0.5717,0.4209,0.5548,0.5378,0.7337,0.7522,0.7164,0.5884,0.7951,0.617,0.6028,0.8111,0.649,0.8265,0.6657,0.6829,0.6326,0.9555,0.7007,0.01131,0.001129,0.002775,0.02763,0.002789,1061,-106.1,-107.4,0.003892,0.000512,0.000052,0.004014,0.022,0.02195,0.01941,0.01974,0.02086,1.554,0.03455,-0.000001,1.41,1.476,0.02644,0.0253,1.48,1.143,1.935,1.131,1.907,1.57,0.03214,1620,16200,1619,0.06053,2.472,2.583,4.942,0.05766,0.4185,4.158,4.988,0.5971,0.4386,0.4673,7.109,7.195,0.4546,36.87,3.068,6.275,0.05386,0,0.4422,4.543,2.512,1.837,0.04581,3.525,2.8,2.038,0.0523,0.2802,3.576,1.356,20.17,1.483,0.7273,0.7875,1.52,1.602,1.678,0.000123,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster0
55,11.94,11.79,10.93,10.8,9.595,10.96,12.59,11.36,12.17,11.44,11.79,10.97,11.46,12.23,10.13,11.54,11.14,12.4,11.56,11.24,11.11,11.29,3.865,8.987,12.16,3.756,8.577,11.91,9.808,10.72,10.08,8.829,10.3,8.898,11.85,7.429,8.732,10,11.24,3.696,7.884,3.293,7.723,11.79,9.86,3.299,8.6,8.743,9.894,9.854,0.03262,0.1252,0.1424,0.1079,0.0598,0.08609,0.1608,0.5037,0.3167,0.2577,0.2256,0.242,0.2752,0.1812,0.5189,0.392,0.2036,0.2944,0.3746,0.3561,0.4702,0.6007,0.5393,0.5657,0.4086,0.3389,0.4511,0.5874,0.8462,0.4297,0.8619,0.6436,0.4848,0.6302,0.6155,0.8195,0.836,0.8007,0.6639,0.8817,0.7003,0.6838,0.9043,0.7298,0.928,0.7409,0.7537,0.7118,1.036,0.78,0.02464,0.002469,0.007188,0.07224,0.007287,915.6,-91.57,-93.5,0.009918,0.001476,0.000149,0.0103,0.02438,0.02478,0.02153,0.02301,0.02246,1.755,0.04448,0,1.554,1.629,0.02901,0.03022,1.679,-0.2201,2.089,-0.2398,2.248,1.803,0.03507,1556,15560,1557,0.06323,3.306,2.551,3.917,0.0587,0.6732,6.709,3.956,0.4767,0.4427,0.3737,0.7914,0.8798,0.587,54.06,3.471,5.022,0.04782,0,0.4722,4.773,3.115,2.048,-0.2236,0.8252,3.588,2.683,-0.2401,0.359,0.8262,1.617,30.69,1.702,0.7155,0.8291,1.798,1.853,2.005,0.000007,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster3
56,1.246,1.241,1.336,1.304,1.014,1.209,1.401,1.286,1.398,1.194,1.253,1.229,1.171,1.258,1.033,1.189,1.219,1.423,1.226,1.329,1.215,1.209,0.409,0.9052,1.265,0.4031,0.9078,1.291,1.048,1.178,1.044,0.901,1.092,0.9104,1.171,0.7589,0.9023,1.018,1.201,0.3956,0.8238,0.3507,0.8528,1.254,1.055,0.3467,0.9211,0.9102,1.018,1.033,0.007876,0.03524,0.04086,0.0294,0.01565,0.02299,0.04606,0.1121,0.07105,0.06287,0.05683,0.05993,0.06534,0.05045,0.1168,0.08666,0.05383,0.06792,0.08243,0.07837,0.1032,0.1362,0.1217,0.1268,0.09078,0.07459,0.09883,0.1319,0.192,0.09473,0.1983,0.1473,0.1077,0.1439,0.1401,0.1819,0.1865,0.1779,0.1499,0.2048,0.1546,0.1521,0.211,0.1615,0.2169,0.1656,0.1699,0.1578,0.2677,0.1741,0.002812,0.00029,0.000347,0.003424,0.00035,1486,-148.7,-149.8,0.001049,0.000122,0.000013,0.001285,0.03797,0.03628,0.03197,0.03789,0.03573,2.855,0.04915,0,2.369,2.65,0.04373,0.04019,2.831,-2.458,3.608,-2.41,3.061,2.741,0.04331,1743,17430,1742,0.1002,3.584,3.19,7.323,0.06669,0.4205,4.163,7.389,1.482,1.177,1.008,10.2,10.16,1.249,30.74,3.954,9.234,0.05589,0,1.041,5.307,2.834,2.147,-0.7482,8.389,2.093,2.412,-0.7246,0.2094,8.417,1.797,19.93,1.933,2.146,1.428,1.929,2.064,2.158,-0.000068,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster1
57,8.14,8.176,7.442,7.477,6.378,7.551,8.322,7.366,8.394,7.956,8.026,7.328,7.919,8.105,6.951,7.812,7.735,8.36,7.991,7.403,7.698,7.769,2.356,5.907,8.064,2.321,5.661,8.251,6.761,7.289,6.989,5.94,7.067,5.861,7.848,4.824,5.981,6.683,7.662,2.284,5.146,2.001,5.226,8.214,6.798,1.967,5.623,6.028,6.606,6.724,0.01644,0.07915,0.0946,0.06371,0.03225,0.048,0.1099,0.3624,0.2275,0.1842,0.1549,0.1695,0.1986,0.125,0.3753,0.2833,0.14,0.2131,0.2695,0.2554,0.3364,0.4253,0.3879,0.4006,0.2968,0.2414,0.3234,0.413,0.5902,0.3103,0.6,0.4607,0.3494,0.4492,0.4372,0.5699,0.5801,0.559,0.4719,0.6102,0.4941,0.4831,0.6209,0.5165,0.6306,0.5273,0.5379,0.5053,0.7052,0.5486,0.005361,0.000536,0.001294,0.01459,0.001462,1203,-120.3,-140.9,0.001202,0.000174,0.000018,0.001124,0.03896,0.04624,0.02864,0.02994,0.0357,2.432,0.03678,-0.000002,2.438,2.758,0.03797,0.03167,2.046,-2.273,2.763,-2.249,2.05,2.945,0.03058,1588,15880,1588,0.1072,2.558,2.036,0.2375,0.09371,0.2796,2.808,1.012,1.28,1.832,1.834,6.181,8.408,1.623,22.69,2.689,10.09,0.05797,0,1.931,7.86,2.487,1.872,-0.516,-10.53,9.392,2.172,-0.4357,0.9406,-8.598,1.532,7.429,1.691,1.81,1.072,1.602,1.733,1.763,0.000601,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster1
58,1.136,1.13,1.022,1.025,0.88,1.025,1.147,1.004,1.157,1.102,1.136,0.9944,1.087,1.143,0.974,1.065,1.053,1.154,1.12,1.014,1.042,1.06,0.3567,0.7993,1.144,0.3518,0.7821,1.131,0.9621,0.9883,0.9723,0.8028,0.9769,0.7966,1.07,0.6737,0.8083,0.936,1.033,0.3468,0.7013,0.3098,0.7152,1.128,0.9734,0.3056,0.7825,0.8161,0.9199,0.9487,0.004411,0.01969,0.02292,0.0162,0.008559,0.01247,0.02583,0.06951,0.04458,0.03735,0.03292,0.03509,0.03974,0.02844,0.07095,0.05413,0.03077,0.04219,0.05156,0.0492,0.06563,0.07815,0.07252,0.07422,0.05692,0.04689,0.06291,0.07614,0.1047,0.05991,0.1061,0.08352,0.06779,0.08188,0.08008,0.1026,0.1035,0.1016,0.08517,0.1083,0.08943,0.08713,0.1108,0.09429,0.113,0.09661,0.09872,0.09186,0.1235,0.1004,0.001898,0.000192,0.000291,0.002904,0.000294,1312,-131.2,-132.8,0.000545,0.000072,0.000007,0.000503,0.02861,0.02775,0.02208,0.02541,0.0299,2.05,0.03649,0,1.701,2.031,0.02819,0.02851,1.919,-0.5235,2.044,-0.5264,2.16,2.045,0.03099,1719,17190,1718,0.0727,2.604,2.319,3.742,0.06075,0.2835,2.824,3.803,1.066,0.9798,0.8456,11.88,12.06,0.9864,22.88,2.324,5.869,0.04369,0,1.053,5.242,2.289,1.625,-0.8148,-0.3027,2.265,1.963,-0.8067,0.2266,-0.2414,1.366,10.61,1.462,0.9442,1.146,1.505,1.565,1.657,0.000073,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster2
59,5.91,5.994,5.281,5.309,4.554,5.391,6.014,5.24,6.025,5.675,5.742,5.229,5.649,5.837,4.954,5.604,5.644,6.012,5.708,5.26,5.647,5.617,1.869,4.269,5.782,1.847,4.082,6.075,4.821,5.222,4.996,4.323,5.111,4.225,5.609,3.63,4.384,4.819,5.601,1.828,3.738,1.621,3.781,6.061,4.837,1.593,4.063,4.435,4.836,4.815,0.01686,0.07563,0.09012,0.06135,0.03225,0.04697,0.1047,0.3528,0.2105,0.1723,0.147,0.1601,0.1847,0.1191,0.3647,0.2655,0.1334,0.1974,0.2516,0.2375,0.3231,0.4101,0.3759,0.3869,0.2794,0.2238,0.3081,0.3984,0.6023,0.2936,0.6146,0.4464,0.3384,0.4341,0.4221,0.5781,0.5899,0.567,0.4591,0.6275,0.4864,0.4725,0.6403,0.5163,0.6535,0.5309,0.5445,0.5012,0.7586,0.5558,0.01011,0.001013,0.001821,0.01814,0.00183,1019,-101.9,-102.9,0.002646,0.000333,0.000034,0.002488,0.02426,0.02342,0.02178,0.02326,0.02303,1.757,0.03455,-0.000001,1.605,1.722,0.02583,0.02619,1.689,0.13,1.997,0.1231,1.89,1.706,0.02932,1693,16930,1692,0.05148,2.643,2.263,0.871,0.05382,0.2626,2.62,0.9,0.7391,0.8752,0.7462,4.665,4.752,0.7821,22.44,2.327,5.257,0.03934,0,0.7459,4.132,2.107,1.622,-0.6533,0.4141,2.054,1.83,-0.6482,0.2057,0.45,1.417,14.71,1.432,1.048,0.8299,1.493,1.558,1.589,0.000155,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster0
60,3.312,3.332,2.971,2.991,2.516,3.026,3.41,2.935,3.454,3.223,3.259,2.915,3.205,3.293,2.745,3.152,3.117,3.432,3.24,2.953,3.099,3.135,1.02,2.324,3.277,1.006,2.24,3.37,2.672,2.894,2.76,2.34,2.791,2.309,3.169,1.933,2.356,2.641,3.081,0.9923,2.054,0.8793,2.083,3.351,2.687,0.8646,2.226,2.372,2.61,2.657,0.009854,0.04751,0.05656,0.03831,0.01944,0.02893,0.06536,0.2205,0.1339,0.1083,0.09133,0.09978,0.1168,0.07411,0.2292,0.1681,0.0828,0.1254,0.1595,0.151,0.2028,0.2636,0.2381,0.2467,0.1767,0.1424,0.1942,0.2552,0.3871,0.1854,0.3957,0.2881,0.2115,0.2799,0.2717,0.3705,0.3788,0.3622,0.2968,0.4041,0.3131,0.305,0.4121,0.3299,0.4201,0.338,0.3461,0.3215,0.4783,0.3539,0.006159,0.000619,0.000875,0.008876,0.000892,1076,-107.6,-108.5,0.001233,0.000155,0.000016,0.001004,0.02919,0.02895,0.02753,0.02702,0.02888,2.197,0.03395,-0.000001,2.009,2.042,0.0314,0.02975,1.907,-4.657,2.259,-4.642,2.16,2.059,0.02812,1601,16010,1599,0.06064,2.457,2.085,1.934,0.04732,0.3402,3.399,1.94,0.857,1.037,1.074,-1.238,-1.118,1.38,29.18,2.235,5.717,0.03553,0,0.9639,3.99,2.083,1.737,-4.622,-6.266,1.543,1.807,-4.589,0.1547,-6.311,1.481,12.67,1.535,1.37,1.127,1.542,1.658,1.643,0.000061,0,?,?,?,?,?,?,0.3399,?,?,?,?,?,?,?,?,cluster1
61,2.639,2.642,2.39,2.386,2.051,2.399,2.694,2.426,2.7,2.682,2.676,2.45,2.627,2.645,2.226,2.514,2.475,2.694,2.702,2.401,2.464,2.491,0.8463,1.964,2.656,0.8327,1.836,2.668,2.203,2.414,2.24,2.011,2.248,1.925,2.543,1.597,2.019,2.242,2.454,0.8209,1.724,0.7341,1.793,2.651,2.196,0.7308,1.832,2,2.205,2.218,0.00768,0.03593,0.04308,0.02868,0.01472,0.02165,0.05007,0.139,0.09124,0.076,0.06631,0.07114,0.08095,0.05651,0.1437,0.1108,0.06155,0.08607,0.1061,0.1013,0.1292,0.1605,0.1478,0.1521,0.1154,0.09637,0.1246,0.1563,0.2177,0.12,0.2212,0.1728,0.134,0.1686,0.1645,0.2109,0.2143,0.2069,0.1772,0.225,0.1852,0.1813,0.2283,0.1926,0.2318,0.1963,0.1997,0.189,0.256,0.2034,0.002944,0.000297,0.000828,0.00824,0.000836,1144,-114.4,-115.1,0.001454,0.000206,0.000021,0.001509,0.02641,0.03087,0.02598,0.02964,0.02892,1.911,0.04106,0,1.825,2.201,0.03466,0.03185,2.207,-1.999,2.611,-1.972,2.346,2.297,0.03275,1666,16660,1666,0.06546,3.073,2.366,-0.07202,0.04223,0.379,3.778,-0.06121,1.145,1.246,0.802,7.412,7.494,0.9024,32.03,2.299,6.245,0.03547,0,1.219,3.15,2.165,1.803,-1.65,3.58,1.496,2.033,-1.652,0.1496,3.576,1.502,15.37,1.618,1.471,1.195,1.598,1.736,1.767,0.000417,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster2
